beginDate,stage,price
2012-03-18,Paddy,300.0
2012-03-25,Paddy,303.75
2012-04-01,Paddy,307.5
2012-04-08,Paddy,308.75
2012-04-15,Paddy,308.75
2012-04-22,Paddy,308.75
2012-04-29,Paddy,308.75
2012-05-06,Paddy,308.75
2012-05-13,,
2012-05-20,Paddy,297.5
2012-05-27,Paddy,293.75
2012-06-03,Paddy,295.0
2012-06-10,Paddy,295.0
2012-06-17,Paddy,295.0
2012-06-24,Paddy,300.0
2012-07-01,Paddy,303.75
2012-07-08,Paddy,306.25
2012-07-15,Paddy,311.6666666666667
2012-07-22,Paddy,320.0
2012-07-29,Paddy,320.0
2012-08-05,Paddy,330.0
2012-08-12,,
2012-08-19,,
2012-08-26,,
2012-09-02,,
2012-09-09,,
2012-09-16,,
2012-09-23,,
2012-09-30,Paddy,299.5
2012-10-07,Paddy,299.5
2012-10-14,Paddy,304.6666666666667
2012-10-21,Paddy,300.5
2012-10-28,Paddy,302.5
2012-11-04,Paddy,308.75
2012-11-11,Paddy,310.25
2012-11-18,Paddy,310.25
2012-11-25,Paddy,310.25
2012-12-02,Paddy,305.25
2012-12-09,Paddy,305.25
2012-12-16,Paddy,305.25
2012-12-23,Paddy,305.25
2012-12-30,Paddy,309.3333333333333
2013-01-06,Paddy,309.3333333333333
2013-01-13,Paddy,305.25
2013-01-20,Paddy,298.25
2013-01-27,Paddy,298.25
2013-02-03,Paddy,298.25
2013-02-10,Paddy,298.25
2013-02-17,Paddy,298.25
2013-02-24,Paddy,298.25
2013-03-03,,
2013-03-10,Paddy,293.25
2013-03-17,Paddy,288.25
2013-03-24,Paddy,285.75
2013-03-31,Paddy,285.75
2013-04-07,Paddy,285.75
2013-04-14,Paddy,285.75
2013-04-21,Paddy,285.75
2013-04-28,Paddy,285.75
2013-05-05,Paddy,285.75
2013-05-12,Paddy,285.75
2013-05-19,Paddy,285.75
2013-05-26,Paddy,285.75
2013-06-02,Paddy,285.75
2013-06-09,Paddy,285.75
2013-06-16,Paddy,290.75
2013-06-23,Paddy,296.25
2013-06-30,Paddy,306.25
2013-07-07,Paddy,326.25
2013-07-14,Paddy,332.5
2013-07-21,Paddy,335.0
2013-07-28,Paddy,332.5
2013-08-04,,
2013-08-11,,
2013-08-18,,
2013-08-25,,
2013-09-01,,
2013-09-08,,
2013-09-15,,
2013-09-22,,
2013-09-29,,
2013-10-06,Paddy,250.0
2013-10-13,Paddy,283.3333333333333
2013-10-20,Paddy,283.3333333333333
2013-10-27,Paddy,285.0
2013-11-03,Paddy,288.75
2013-11-10,Paddy,293.75
2013-11-17,Paddy,297.5
2013-11-24,Paddy,301.25
2013-12-01,Paddy,302.25
2013-12-08,Paddy,302.25
2013-12-15,Paddy,302.25
2013-12-22,Paddy,299.75
2013-12-29,Paddy,299.75
2014-01-05,Paddy,313.3333333333333
2014-01-12,Paddy,299.75
2014-01-19,Paddy,304.75
2014-01-26,Paddy,312.25
2014-02-02,Paddy,316.0
2014-02-09,Paddy,318.5
2014-02-16,Paddy,328.5
2014-02-23,Paddy,339.75
2014-03-02,Paddy,339.75
2014-03-09,Paddy,348.5
2014-03-16,Paddy,348.5
2014-03-23,Paddy,348.5
2014-03-30,Paddy,336.6666666666667
2014-04-06,Paddy,336.6666666666667
2014-04-13,Paddy,336.6666666666667
2014-04-20,Paddy,333.3333333333333
2014-04-27,Paddy,333.3333333333333
2014-05-04,Paddy,328.3333333333333
2014-05-11,Paddy,328.3333333333333
2014-05-18,Paddy,328.3333333333333
2014-05-25,Paddy,326.6666666666667
2014-06-01,Paddy,321.6666666666667
2014-06-08,Paddy,318.3333333333333
2014-06-15,Paddy,316.6666666666667
2014-06-22,Paddy,308.3333333333333
2014-06-29,Paddy,250.0
2014-07-06,Paddy,250.0
2014-07-13,Paddy,250.0
2014-07-20,Paddy,230.0
2014-07-27,Paddy,257.5
2014-08-03,Paddy,230.0
2014-08-10,Paddy,230.0
2014-08-17,,
2014-08-24,,
2014-08-31,Paddy,240.0
2014-09-07,Paddy,245.0
2014-09-14,Paddy,245.0
2014-09-21,Paddy,245.0
2014-09-28,,
2014-10-05,,
2014-10-12,Paddy,279.3333333333333
2014-10-19,Paddy,288.6666666666667
2014-10-26,Paddy,288.6666666666667
2014-11-02,Paddy,298.6666666666667
2014-11-09,Paddy,308.0
2014-11-16,Paddy,311.3333333333333
2014-11-23,Paddy,313.0
2014-11-30,Paddy,313.0
2014-12-07,Paddy,313.0
2014-12-14,Paddy,313.0
2014-12-21,Paddy,313.0
2014-12-28,Paddy,313.0
2015-01-04,Paddy,313.0
2015-01-11,,
2015-01-18,Paddy,324.0
2015-01-25,Paddy,327.3333333333333
2015-02-01,Paddy,340.0
2015-02-08,Paddy,341.0
2015-02-15,Paddy,344.3333333333333
2015-02-22,Paddy,351.0
2015-03-01,Paddy,361.0
2015-03-08,Paddy,361.0
2015-03-15,Paddy,373.3333333333333
2015-03-22,Paddy,373.3333333333333
2015-03-29,Paddy,382.0
2015-04-05,Paddy,382.0
2015-04-12,Paddy,382.0
2015-04-19,Paddy,382.0
2015-04-26,Paddy,388.6666666666667
2015-05-03,Paddy,388.6666666666667
2015-05-10,Paddy,388.6666666666667
2015-05-17,Paddy,381.6666666666667
2015-05-24,Paddy,376.6666666666667
2015-05-31,Paddy,376.6666666666667
2015-06-07,,
2015-06-14,Paddy,342.5
2015-06-21,Paddy,340.0
2015-06-28,Paddy,340.0
2015-07-05,Paddy,340.0
2015-07-12,Paddy,340.0
2015-07-19,Paddy,330.0
2015-07-26,Paddy,310.0
2015-08-02,Paddy,300.0
2015-08-09,,
2015-08-16,,
2015-08-23,,
2015-08-30,,
2015-09-06,,
2015-09-13,,
2015-09-20,,
2015-09-27,Paddy,284.0
2015-10-04,Paddy,292.0
2015-10-11,Paddy,303.25
2015-10-18,Paddy,308.25
2015-10-25,Paddy,320.25
2015-11-01,Paddy,326.5
2015-11-08,Paddy,340.5
2015-11-15,Paddy,346.5
2015-11-22,Paddy,453.5833333333333
2015-11-29,Paddy,455.5833333333333
2015-12-06,,
2015-12-13,Paddy,455.4166666666667
2015-12-20,Paddy,455.4166666666667
2015-12-27,Paddy,455.4166666666667
2016-01-03,,
2016-01-10,Paddy,469.5833333333333
2016-01-17,Paddy,469.5
2016-01-24,Paddy,460.6666666666667
2016-01-31,Paddy,460.6666666666667
2016-02-07,Paddy,460.6666666666667
2016-02-14,Paddy,452.5833333333333
2016-02-21,Paddy,434.3333333333333
2016-02-28,Paddy,430.3333333333333
2016-03-06,Paddy,430.3333333333333
2016-03-13,Paddy,430.3333333333333
2016-03-20,Paddy,430.3333333333333
2016-03-27,Paddy,434.0833333333333
2016-04-03,Paddy,439.25
2016-04-10,Paddy,439.25
